!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 1.0mm H2O, airmass=1.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0010    942.0  -4.720  3.000   0.166   1.000  15.451  14.728  13.817  13.690  13.807  15.520  15.088  15.240  14.047  13.470  13.356  13.956  13.419  13.976  13.356  14.247  13.654  14.615   13.453   14.030  13.261  13.347  15.014  14.015 
  0.0020   1285.0  -4.140  3.260   0.174   1.000  14.936  13.936  12.517  11.490  12.509  15.059  14.681  14.141  13.616  12.434  12.249  12.287  11.527  11.374  11.326  11.441  12.535  13.926   11.594   11.341  12.276  11.459  14.619  13.543 
  0.0030   1553.0  -3.750  3.370   0.187   1.000  15.173  13.849  12.270  10.972  12.261  15.337  14.921  14.212  13.572  12.354  12.046  11.945  11.123  10.806  10.924  10.757  12.444  14.018   11.181   10.764  12.130  11.089  14.780  13.463 
  0.0040   1747.0  -3.480  3.440   0.200   1.000  13.747  12.293  11.039  10.076  11.028  13.876  13.490  12.882  11.863  11.113  10.597  10.759  10.277   9.847   9.980   9.832  11.287  12.464   10.379    9.791  10.717  10.215  13.155  11.731 
  0.0050   1901.0  -3.270  3.470   0.215   1.000  12.245  11.094  10.296   9.585  10.286  12.314  12.021  11.602  10.693  10.326   9.840  10.067   9.793   9.344   9.474   9.337  10.503  11.183    9.907    9.287   9.946   9.720  11.648  10.574 
  0.0060   2004.0  -3.130  3.500   0.228   1.000  11.731  10.653   9.931   9.265   9.922  11.811  11.497  11.081  10.289   9.953   9.497   9.710   9.475   9.027   9.160   9.014  10.118  10.713    9.586    8.969   9.596   9.403  11.153  10.175 
  0.0070   2098.0  -3.000  3.510   0.242   1.000  11.102  10.175   9.581   8.990   9.572  11.165  10.888  10.537   9.846   9.592   9.173   9.378   9.188   8.760   8.887   8.747   9.744  10.214    9.293    8.705   9.264   9.120  10.572   9.739 
  0.0080   2159.0  -2.890  3.520   0.258   1.000  10.731   9.863   9.296   8.734   9.288  10.797  10.522  10.174   9.560   9.301   8.912   9.099   8.924   8.513   8.635   8.498   9.440   9.892    9.023    8.460   8.997   8.859  10.237   9.458 
  0.0100   2240.0  -2.820  3.600   0.261   1.000  10.448   9.641   9.100   8.578   9.093  10.526  10.240   9.899   9.368   9.103   8.744   8.915   8.756   8.368   8.485   8.351   9.229   9.661    8.848    8.316   8.822   8.698   9.993   9.269 
  0.0120   2337.0  -2.690  3.630   0.278   1.000  10.053   9.307   8.791   8.305   8.784  10.134   9.851   9.524   9.061   8.791   8.462   8.616   8.475   8.106   8.218   8.087   8.906   9.323    8.558    8.056   8.535   8.420   9.641   8.968 
  0.0150   2450.0  -2.520  3.630   0.309   1.000   9.571   8.889   8.392   7.939   8.385   9.656   9.375   9.066   8.671   8.393   8.096   8.225   8.095   7.755   7.863   7.732   8.494   8.904    8.168    7.708   8.164   8.049   9.206   8.583 
  0.0200   2544.0  -2.480  3.790   0.297   1.000   9.468   8.825   8.323   7.902   8.318   9.555   9.282   8.979   8.627   8.322   8.053   8.168   8.047   7.730   7.829   7.708   8.413   8.840    8.115    7.685   8.113   8.006   9.139   8.542 
  0.0300   2703.0  -2.130  3.720   0.398   1.000   8.543   7.958   7.458   7.078   7.452   8.629   8.367   8.083   7.787   7.460   7.220   7.312   7.213   6.923   7.018   6.896   7.539   7.977    7.270    6.880   7.276   7.180   8.264   7.708 
  0.0400   2792.0  -1.920  3.690   0.475   1.000   8.012   7.450   6.942   6.590   6.937   8.095   7.844   7.566   7.291   6.945   6.717   6.801   6.719   6.441   6.534   6.414   7.019   7.472    6.773    6.399   6.769   6.691   7.753   7.215 
  0.0500   2846.0  -1.730  3.630   0.569   1.000   7.541   6.988   6.472   6.140   6.467   7.623   7.375   7.101   6.832   6.474   6.245   6.332   6.271   5.990   6.085   5.963   6.550   7.009    6.325    5.948   6.296   6.243   7.288   6.757 
  0.0550   2870.0  -1.650  3.600   0.614   1.000   7.342   6.793   6.273   5.951   6.268   7.424   7.176   6.904   6.638   6.275   6.045   6.133   6.082   5.800   5.896   5.772   6.351   6.814    6.136    5.756   6.096   6.055   7.091   6.563 
  0.0600   2893.0  -1.570  3.580   0.658   1.000   7.159   6.614   6.091   5.777   6.086   7.240   6.995   6.724   6.461   6.094   5.864   5.952   5.909   5.626   5.723   5.599   6.170   6.635    5.962    5.583   5.914   5.882   6.911   6.386 
  0.0700   2921.0  -1.450  3.540   0.745   1.000   6.848   6.308   5.778   5.473   5.773   6.928   6.686   6.417   6.157   5.780   5.551   5.639   5.604   5.323   5.419   5.296   5.856   6.329    5.658    5.280   5.600   5.578   6.604   6.082 
  0.0720   2925.0  -1.420  3.530   0.764   1.000   6.788   6.248   5.716   5.412   5.711   6.868   6.625   6.356   6.097   5.717   5.489   5.577   5.544   5.262   5.358   5.236   5.794   6.269    5.597    5.219   5.538   5.518   6.544   6.023 
