!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 1.0mm H2O, airmass=1.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0750   2932.0  -1.390  3.520   0.786   1.000   6.716   6.177   5.642   5.341   5.637   6.796   6.554   6.285   6.027   5.643   5.415   5.503   5.472   5.191   5.286   5.165   5.719   6.199    5.525    5.148   5.463   5.446   6.473   5.953 
  0.0800   2941.0  -1.340  3.500   0.829   1.000   6.588   6.049   5.509   5.212   5.504   6.667   6.426   6.158   5.900   5.510   5.282   5.371   5.343   5.063   5.158   5.037   5.587   6.071    5.397    5.020   5.330   5.317   6.346   5.826 
  0.0900   2968.0  -1.250  3.480   0.907   1.000   6.356   5.820   5.266   4.979   5.261   6.434   6.196   5.928   5.673   5.266   5.040   5.129   5.109   4.831   4.924   4.807   5.344   5.843    5.162    4.789   5.086   5.083   6.117   5.599 
  0.1000   2998.0  -1.160  3.450   0.982   1.000   6.144   5.611   5.040   4.765   5.035   6.222   5.986   5.718   5.466   5.039   4.814   4.903   4.893   4.618   4.708   4.596   5.118   5.635    4.946    4.576   4.859   4.868   5.909   5.393 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.005
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0020    901.0  -4.920  3.430   0.143   1.000  15.739  15.043  14.608  14.388  14.600  15.825  15.326  15.769  14.246  14.046  14.469  15.024  13.974  15.050  14.084  15.350  14.075  14.900   13.952   15.163  14.207  13.932  15.228  14.224 
  0.0030   1098.0  -4.550  3.580   0.148   1.000  15.121  14.317  13.243  13.033  13.234  15.210  14.820  14.632  13.784  12.962  12.840  13.294  12.815  13.228  12.731  13.478  13.104  14.191   12.850   13.259  12.792  12.746  14.742  13.732 
  0.0040   1263.0  -4.280  3.680   0.152   1.000  14.881  13.987  12.714  11.969  12.705  14.988  14.622  14.193  13.612  12.564  12.386  12.569  11.926  11.929  11.747  12.065  12.678  13.925   11.990   11.909  12.397  11.852  14.563  13.546 
  0.0050   1413.0  -4.060  3.750   0.157   1.000  15.030  13.948  12.526  11.446  12.520  15.183  14.784  14.173  13.691  12.521  12.332  12.273  11.504  11.346  11.342  11.363  12.592  14.009   11.550   11.316  12.375  11.462  14.706  13.603 
  0.0060   1543.0  -3.890  3.800   0.161   1.000  14.905  13.717  12.296  11.112  12.289  15.074  14.654  14.002  13.461  12.343  12.090  12.015  11.233  10.967  11.050  10.934  12.421  13.829   11.285   10.929  12.157  11.197  14.532  13.358 
  0.0070   1668.0  -3.730  3.840   0.166   1.000  14.504  13.104  11.647  10.578  11.637  14.682  14.236  13.550  12.750  11.712  11.276  11.370  10.740  10.382  10.480  10.374  11.852  13.255   10.825   10.333  11.382  10.686  14.015  12.622 
  0.0080   1786.0  -3.580  3.870   0.171   1.000  13.314  12.065  11.027  10.227  11.018  13.437  13.066  12.558  11.667  11.059  10.591  10.807  10.394  10.020  10.108  10.031  11.223  12.169   10.492    9.969  10.695  10.329  12.736  11.540 
  0.0100   1872.0  -3.440  3.910   0.183   1.000  12.730  11.536  10.644   9.929  10.634  12.856  12.476  12.000  11.152  10.666  10.203  10.436  10.105   9.714   9.810   9.722  10.831  11.614   10.208    9.661  10.304  10.038  12.136  11.027 
  0.0120   2036.0  -3.260  3.960   0.190   1.000  11.836  10.837  10.160   9.571  10.152  11.926  11.605  11.204  10.496  10.160   9.741   9.975   9.751   9.350   9.449   9.359  10.313  10.868    9.856    9.296   9.831   9.681  11.293  10.384 
  0.0150   2254.0  -3.010  3.980   0.207   1.000  10.896  10.091   9.549   9.058   9.542  10.985  10.687  10.345   9.820   9.542   9.188   9.380   9.230   8.850   8.954   8.845   9.669  10.103    9.323    8.797   9.264   9.168  10.442   9.721 
  0.0200   2504.0  -2.640  3.930   0.255   1.000   9.882   9.220   8.712   8.281   8.706   9.970   9.693   9.383   9.013   8.708   8.431   8.556   8.430   8.106   8.203   8.086   8.803   9.232    8.500    8.060   8.492   8.385   9.537   8.927 
  0.0300   2702.0  -2.230  3.810   0.355   1.000   8.796   8.210   7.707   7.327   7.701   8.883   8.621   8.335   8.039   7.709   7.470   7.562   7.460   7.173   7.266   7.147   7.787   8.229    7.518    7.130   7.525   7.428   8.517   7.961 
  0.0400   2798.0  -2.070  3.840   0.396   1.000   8.402   7.842   7.330   6.978   7.325   8.486   8.235   7.958   7.684   7.332   7.110   7.191   7.104   6.832   6.921   6.806   7.404   7.864    7.157    6.791   7.160   7.076   8.146   7.608 
  0.0500   2882.0  -1.990  3.910   0.412   1.000   8.196   7.653   7.131   6.805   7.127   8.278   8.035   7.763   7.503   7.133   6.919   6.997   6.927   6.663   6.749   6.637   7.203   7.676    6.978    6.622   6.966   6.901   7.955   7.428 
  0.0550   2914.0  -1.950  3.930   0.421   1.000   8.103   7.567   7.041   6.723   7.037   8.184   7.945   7.675   7.419   7.042   6.833   6.909   6.843   6.584   6.668   6.558   7.111   7.591    6.894    6.544   6.878   6.818   7.867   7.346 
  0.0600   2938.0  -1.910  3.940   0.434   1.000   8.001   7.471   6.941   6.629   6.937   8.081   7.846   7.578   7.325   6.941   6.736   6.810   6.748   6.492   6.574   6.467   7.009   7.495    6.797    6.452   6.780   6.723   7.770   7.252 
  0.0700   2981.0  -1.830  3.960   0.461   1.000   7.808   7.287   6.749   6.448   6.745   7.886   7.657   7.392   7.145   6.749   6.550   6.621   6.564   6.315   6.394   6.291   6.815   7.312    6.612    6.276   6.591   6.541   7.584   7.073 
  0.0720   2988.0  -1.810  3.960   0.468   1.000   7.765   7.245   6.707   6.408   6.702   7.843   7.615   7.350   7.104   6.706   6.508   6.579   6.523   6.275   6.353   6.251   6.772   7.271    6.571    6.236   6.549   6.500   7.543   7.033 
  0.0750   2998.0  -1.790  3.960   0.476   1.000   7.715   7.197   6.655   6.358   6.650   7.792   7.565   7.301   7.056   6.654   6.457   6.528   6.474   6.227   6.304   6.203   6.719   7.222    6.521    6.188   6.498   6.450   7.493   6.985 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.010
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0030    920.0  -4.910  3.630   0.139   1.000  15.647  14.958  14.575  14.359  14.568  15.737  15.241  15.661  14.171  13.992  14.491  15.041  13.934  15.061  14.065  15.358  13.995  14.789   13.905   15.179  14.212  13.897  15.141  14.148 
  0.0040   1064.0  -4.640  3.740   0.141   1.000  15.166  14.411  13.585  13.428  13.577  15.261  14.838  14.815  13.811  13.198  13.287  13.796  13.135  13.805  13.131  14.069  13.291  14.253   13.146   13.865  13.161  13.079  14.754  13.766 
  0.0050   1193.0  -4.430  3.820   0.144   1.000  15.025  14.176  12.977  12.487  12.968  15.125  14.753  14.412  13.738  12.775  12.608  12.914  12.361  12.543  12.226  12.734  12.898  14.084   12.411   12.544  12.602  12.289  14.680  13.675 
  0.0060   1316.0  -4.240  3.880   0.147   1.000  14.804  13.902  12.611  11.840  12.603  14.912  14.560  14.084  13.565  12.485  12.312  12.448  11.805  11.788  11.626  11.921  12.584  13.853   11.866   11.766  12.331  11.734  14.507  13.495 
  0.0070   1426.0  -4.090  3.940   0.149   1.000  14.805  13.801  12.445  11.452  12.438  14.937  14.570  13.999  13.529  12.400  12.225  12.220  11.484  11.361  11.312  11.411  12.477  13.823   11.536   11.331  12.258  11.431  14.506  13.449 
  0.0080   1536.0  -3.940  3.980   0.152   1.000  14.681  13.564  12.221  11.099  12.213  14.837  14.436  13.830  13.296  12.247  11.994  11.960  11.212  10.954  11.022  10.936  12.328  13.650   11.267   10.916  12.058  11.171  14.311  13.197 
  0.0100   1608.0  -3.810  4.020   0.162   1.000  14.288  13.136  11.877  10.784  11.869  14.446  14.035  13.453  12.834  11.908  11.601  11.625  10.913  10.620  10.698  10.606  12.005  13.224   10.979   10.577  11.677  10.865  13.857  12.723 
  0.0120   1801.0  -3.580  4.070   0.167   1.000  13.216  11.990  10.993  10.235  10.984  13.359  12.957  12.452  11.603  11.010  10.559  10.794  10.388  10.038  10.108  10.059  11.171  12.074   10.485    9.990  10.656  10.323  12.632  11.475 
  0.0150   2168.0  -3.140  4.050   0.192   1.000  11.322  10.452   9.868   9.347   9.860  11.414  11.103  10.744  10.155   9.861   9.484   9.697   9.521   9.135   9.234   9.137   9.998  10.466    9.619    9.081   9.565   9.456  10.833  10.051 
  0.0200   2487.0  -2.700  3.970   0.243   1.000  10.022   9.351   8.841   8.407   8.835  10.111   9.832   9.520   9.140   8.837   8.555   8.685   8.557   8.229   8.327   8.211   8.933   9.364    8.629    8.183   8.617   8.511   9.671   9.054 
  0.0300   2667.0  -2.490  4.050   0.270   1.000   9.447   8.854   8.345   7.959   8.340   9.533   9.271   8.985   8.678   8.344   8.105   8.202   8.092   7.803   7.893   7.781   8.424   8.871    8.152    7.760   8.159   8.058   9.162   8.598 
  0.0400   2754.0  -2.420  4.170   0.272   1.000   9.280   8.708   8.187   7.828   8.182   9.368   9.110   8.827   8.547   8.186   7.967   8.051   7.952   7.683   7.766   7.660   8.258   8.728    8.005    7.642   8.016   7.921   9.018   8.470 
  0.0500   2839.0  -2.300  4.200   0.294   1.000   8.997   8.447   7.924   7.581   7.919   9.083   8.835   8.560   8.295   7.924   7.718   7.792   7.698   7.443   7.522   7.420   7.991   8.470    7.749    7.403   7.764   7.672   8.753   8.220 
  0.0550   2875.0  -2.240  4.200   0.307   1.000   8.851   8.309   7.783   7.450   7.778   8.936   8.692   8.419   8.159   7.783   7.580   7.653   7.566   7.314   7.392   7.290   7.849   8.332    7.616    7.275   7.624   7.540   8.613   8.086 
  0.0600   2906.0  -2.200  4.210   0.318   1.000   8.731   8.195   7.667   7.342   7.662   8.814   8.574   8.304   8.048   7.666   7.468   7.538   7.457   7.208   7.285   7.184   7.732   8.219    7.506    7.169   7.510   7.432   8.498   7.975 
  0.0700   2952.0  -2.110  4.220   0.341   1.000   8.514   7.989   7.456   7.141   7.452   8.595   8.363   8.095   7.846   7.456   7.264   7.330   7.253   7.013   7.086   6.989   7.519   8.014    7.300    6.974   7.305   7.229   8.289   7.774 
  0.0720   2961.0  -2.090  4.220   0.346   1.000   8.469   7.946   7.412   7.099   7.408   8.550   8.319   8.052   7.804   7.411   7.221   7.286   7.210   6.971   7.044   6.948   7.474   7.971    7.257    6.933   7.261   7.187   8.246   7.732 
  0.0750   2974.0  -2.060  4.220   0.354   1.000   8.401   7.880   7.344   7.035   7.340   8.481   8.252   7.986   7.739   7.343   7.154   7.219   7.145   6.908   6.979   6.885   7.405   7.906    7.191    6.870   7.194   7.122   8.180   7.668 
  0.0800   2994.0  -2.020  4.220   0.365   1.000   8.306   7.790   7.250   6.946   7.246   8.385   8.158   7.894   7.650   7.248   7.062   7.126   7.055   6.820   6.890   6.797   7.310   7.815    7.101    6.782   7.100   7.032   8.088   7.579 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.050
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0070    928.0  -4.980  4.080   0.127   1.000  15.601  14.925  14.833  14.614  14.828  15.707  15.170  15.710  14.097  14.178  14.935  15.448  14.140  15.492  14.346  15.798  14.098  14.726   14.089   15.639  14.606  14.118  15.057  14.083 
  0.0080   1010.0  -4.830  4.140   0.127   1.000  15.254  14.583  14.242  14.181  14.236  15.365  14.870  15.160  13.853  13.659  14.169  14.755  13.748  14.910  13.897  15.199  13.647  14.364   13.713   15.029  13.898  13.717  14.770  13.821 
  0.0100   1069.0  -4.660  4.160   0.137   1.000  14.935  14.251  13.636  13.654  13.630  15.035  14.602  14.677  13.614  13.134  13.467  14.045  13.261  14.267  13.365  14.548  13.159  14.037   13.239   14.366  13.257  13.221  14.517  13.571 
  0.0120   1439.0  -4.090  4.190   0.146   1.000  14.687  13.703  12.375  11.421  12.368  14.815  14.458  13.895  13.435  12.334  12.153  12.159  11.454  11.329  11.287  11.382  12.407  13.726   11.503   11.299  12.190  11.405  14.389  13.352 
  0.0150   1825.0  -3.610  4.220   0.158   1.000  13.290  12.058  11.065  10.321  11.056  13.456  13.020  12.503  11.681  11.078  10.636  10.873  10.468  10.130  10.195  10.150  11.237  12.134   10.562   10.083  10.730  10.404  12.702  11.552 
  0.0200   1760.0  -3.780  4.440   0.140   1.000  13.877  12.642  11.533  10.705  11.524  14.065  13.603  13.042  12.285  11.539  11.146  11.339  10.825  10.537  10.580  10.561  11.680  12.717   10.906   10.495  11.230  10.765  13.336  12.157 
  0.0300   2201.0  -3.350  4.580   0.147   1.000  11.804  10.996  10.382   9.894  10.375  11.862  11.602  11.260  10.704  10.358  10.013  10.240  10.041   9.701   9.766   9.721  10.485  10.985   10.136    9.650  10.084   9.976  11.363  10.598 
  0.0400   2475.0  -3.090  4.650   0.157   1.000  11.020  10.310   9.770   9.375   9.764  11.145  10.814  10.487  10.095   9.751   9.475   9.640   9.512   9.202   9.276   9.204   9.849  10.312    9.589    9.155   9.532   9.462  10.649  10.005 
  0.0500   2652.0  -2.900  4.670   0.170   1.000  10.462   9.854   9.318   8.956   9.313  10.563  10.283   9.990   9.676   9.308   9.079   9.190   9.080   8.805   8.878   8.793   9.386   9.865    9.141    8.761   9.128   9.042  10.171   9.595 
  0.0550   2713.0  -2.830  4.690   0.176   1.000  10.292   9.704   9.165   8.812   9.160  10.391  10.119   9.830   9.536   9.157   8.940   9.038   8.932   8.668   8.740   8.653   9.230   9.718    8.988    8.625   8.986   8.898  10.020   9.457 
  0.0600   2765.0  -2.760  4.690   0.183   0.999  10.117   9.565   9.033   8.688   9.028  10.198   9.955   9.686   9.401   9.027   8.817   8.908   8.804   8.547   8.619   8.531   9.097   9.578    8.858    8.505   8.861   8.773   9.865   9.324 
  0.0700   2846.0  -2.650  4.700   0.196   0.993   9.844   9.315   8.782   8.449   8.777   9.920   9.690   9.428   9.161   8.778   8.582   8.658   8.559   8.317   8.385   8.298   8.842   9.333    8.610    8.277   8.623   8.532   9.611   9.087 
  0.0720   2860.0  -2.630  4.700   0.199   0.990   9.799   9.267   8.732   8.402   8.727   9.879   9.645   9.380   9.116   8.728   8.535   8.609   8.511   8.271   8.338   8.252   8.791   9.286    8.561    8.231   8.575   8.484   9.566   9.042 
  0.0750   2881.0  -2.600  4.700   0.203   0.984   9.739   9.202   8.664   8.337   8.659   9.824   9.583   9.313   9.053   8.660   8.470   8.541   8.445   8.208   8.274   8.189   8.722   9.223    8.494    8.169   8.509   8.419   9.505   8.980 
  0.0800   2911.0  -2.550  4.700   0.210   0.965   9.634   9.096   8.554   8.233   8.549   9.723   9.479   9.206   8.951   8.550   8.365   8.433   8.339   8.107   8.171   8.088   8.610   9.119    8.387    8.068   8.403   8.314   9.402   8.878 
  0.0900   2959.0  -2.480  4.700   0.222   0.871   9.446   8.920   8.374   8.063   8.370   9.532   9.296   9.027   8.778   8.369   8.192   8.255   8.165   7.941   8.002   7.922   8.428   8.943    8.211    7.904   8.228   8.141   9.223   8.707 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.100
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0100    916.0  -4.980  4.210   0.130   1.000  15.589  14.889  14.882  14.641  14.877  15.701  15.140  15.732  14.035  14.218  15.033  15.508  14.157  15.563  14.380  15.868  14.114  14.697   14.102   15.721  14.701  14.139  15.019  14.027 
  0.0120   1333.0  -4.250  4.220   0.141   1.000  14.765  13.879  12.604  11.886  12.596  14.868  14.533  14.046  13.559  12.481  12.329  12.454  11.831  11.860  11.676  12.003  12.566  13.833   11.881   11.841  12.346  11.768  14.481  13.486 
  0.0150   1290.0  -4.370  4.370   0.132   1.000  14.995  14.117  12.844  12.193  12.837  15.093  14.768  14.287  13.779  12.705  12.589  12.722  12.086  12.233  11.966  12.403  12.777  14.061   12.125   12.225  12.594  12.029  14.703  13.704 
  0.0200   1441.0  -4.210  4.530   0.127   1.000  14.847  13.899  12.600  11.725  12.593  14.967  14.625  14.073  13.635  12.550  12.391  12.401  11.734  11.653  11.588  11.723  12.616  13.914   11.776   11.625  12.422  11.690  14.563  13.553 
  0.0300   1878.0  -3.750  4.710   0.127   1.000  13.470  12.238  11.301  10.690  11.293  13.698  13.178  12.617  11.884  11.273  10.894  11.162  10.799  10.526  10.548  10.571  11.418  12.279   10.886   10.484  10.968  10.734  12.897  11.758 
  0.0400   2234.0  -3.410  4.800   0.132   1.000  12.031  11.159  10.528  10.083  10.521  12.173  11.798  11.410  10.880  10.494  10.168  10.405  10.217   9.901   9.950   9.929  10.616  11.151   10.309    9.851  10.233  10.152  11.568  10.775 
  0.0500   2483.0  -3.180  4.840   0.140   0.999  11.254  10.540   9.992   9.614   9.986  11.391  11.047  10.716  10.325   9.967   9.698   9.871   9.745   9.445   9.508   9.452  10.063  10.537    9.821    9.397   9.753   9.694  10.882  10.234 
  0.0550   2576.0  -3.090  4.860   0.145   0.992  10.989  10.327   9.782   9.415   9.777  11.110  10.795  10.482  10.132   9.765   9.517   9.659   9.542   9.254   9.323   9.252   9.851  10.330    9.611    9.207   9.569   9.498  10.658  10.047 
  0.0600   2652.0  -3.010  4.870   0.149   0.963  10.784  10.155   9.607   9.253   9.602  10.901  10.598  10.294   9.975   9.592   9.365   9.485   9.374   9.103   9.169   9.096   9.671  10.163    9.437    9.058   9.412   9.335  10.482   9.893 
  0.0700   2768.0  -2.880  4.880   0.159   0.668  10.445   9.872   9.325   8.984   9.321  10.541  10.277   9.994   9.710   9.316   9.113   9.204   9.096   8.847   8.912   8.834   9.385   9.886    9.150    8.805   9.155   9.065  10.185   9.633 
  0.0720   2787.0  -2.860  4.880   0.161   0.538  10.386   9.821   9.273   8.934   9.269  10.479  10.220   9.941   9.662   9.266   9.067   9.152   9.044   8.800   8.864   8.785   9.332   9.837    9.096    8.759   9.108   9.013  10.132   9.586 
  0.0750   2814.0  -2.830  4.880   0.164   0.329  10.302   9.746   9.199   8.864   9.194  10.393  10.140   9.863   9.591   9.192   8.998   9.078   8.972   8.733   8.796   8.717   9.257   9.764    9.023    8.692   9.038   8.943  10.056   9.516 
