!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 3.0mm H2O, airmass=2.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0070    928.0  -4.980  4.080   0.127   1.000  15.592  14.847  14.817  14.612  14.813  15.706  15.167  15.703  14.097  14.178  14.934  15.445  14.139  15.488  14.346  15.796  14.098  14.724   14.088   15.637  14.606  14.118  15.057  14.083 
  0.0080   1010.0  -4.830  4.140   0.127   1.000  15.247  14.511  14.226  14.179  14.221  15.365  14.868  15.154  13.853  13.659  14.168  14.751  13.747  14.907  13.897  15.197  13.647  14.363   13.713   15.027  13.898  13.717  14.770  13.821 
  0.0100   1069.0  -4.660  4.160   0.137   1.000  14.930  14.185  13.621  13.652  13.615  15.035  14.601  14.672  13.614  13.134  13.466  14.041  13.259  14.265  13.365  14.546  13.159  14.036   13.238   14.364  13.257  13.221  14.517  13.571 
  0.0120   1439.0  -4.090  4.190   0.146   1.000  14.689  13.683  12.367  11.418  12.361  14.815  14.459  13.894  13.435  12.334  12.152  12.158  11.451  11.328  11.287  11.381  12.407  13.726   11.502   11.299  12.190  11.404  14.389  13.351 
  0.0150   1825.0  -3.610  4.220   0.158   1.000  13.295  12.032  11.056  10.317  11.047  13.456  13.024  12.502  11.680  11.078  10.636  10.871  10.464  10.129  10.195  10.150  11.237  12.133   10.561   10.083  10.730  10.404  12.703  11.551 
  0.0200   1760.0  -3.780  4.440   0.140   1.000  13.882  12.618  11.524  10.701  11.516  14.065  13.606  13.041  12.285  11.539  11.145  11.337  10.821  10.537  10.580  10.560  11.680  12.716   10.905   10.495  11.230  10.765  13.337  12.157 
  0.0300   2201.0  -3.350  4.580   0.147   1.000  11.806  10.972  10.374   9.890  10.366  11.862  11.604  11.260  10.704  10.357  10.013  10.238  10.037   9.700   9.766   9.721  10.485  10.984   10.135    9.650  10.084   9.976  11.364  10.598 
  0.0400   2475.0  -3.090  4.650   0.157   1.000  11.022  10.295   9.764   9.372   9.758  11.145  10.816  10.486  10.095   9.751   9.474   9.639   9.509   9.202   9.276   9.203   9.849  10.312    9.588    9.155   9.532   9.462  10.649  10.005 
  0.0500   2652.0  -2.900  4.670   0.170   1.000  10.464   9.843   9.313   8.954   9.307  10.563  10.284   9.989   9.676   9.308   9.078   9.189   9.077   8.805   8.878   8.793   9.386   9.864    9.140    8.761   9.128   9.042  10.172   9.595 
  0.0550   2713.0  -2.830  4.690   0.176   1.000  10.294   9.694   9.160   8.810   9.155  10.391  10.120   9.830   9.536   9.157   8.940   9.037   8.929   8.668   8.740   8.652   9.230   9.717    8.987    8.625   8.986   8.898  10.020   9.457 
  0.0600   2765.0  -2.760  4.690   0.183   0.999  10.119   9.555   9.028   8.686   9.024  10.198   9.956   9.685   9.401   9.027   8.816   8.907   8.801   8.547   8.619   8.531   9.097   9.578    8.857    8.505   8.861   8.772   9.866   9.324 
  0.0700   2846.0  -2.650  4.700   0.196   0.993   9.846   9.307   8.777   8.447   8.773   9.920   9.691   9.428   9.161   8.778   8.581   8.658   8.557   8.317   8.385   8.298   8.842   9.332    8.609    8.277   8.623   8.531   9.612   9.087 
  0.0720   2860.0  -2.630  4.700   0.199   0.990   9.801   9.260   8.727   8.400   8.723   9.879   9.646   9.379   9.116   8.728   8.534   8.608   8.509   8.271   8.338   8.252   8.791   9.286    8.560    8.231   8.575   8.484   9.567   9.042 
  0.0750   2881.0  -2.600  4.700   0.203   0.984   9.741   9.195   8.659   8.336   8.655   9.824   9.584   9.313   9.053   8.660   8.469   8.541   8.443   8.208   8.274   8.189   8.722   9.222    8.494    8.169   8.509   8.419   9.506   8.980 
  0.0800   2911.0  -2.550  4.700   0.210   0.965   9.636   9.090   8.550   8.232   8.545   9.723   9.480   9.206   8.951   8.550   8.364   8.433   8.337   8.107   8.171   8.087   8.610   9.118    8.386    8.068   8.403   8.313   9.403   8.878 
  0.0900   2959.0  -2.480  4.700   0.222   0.871   9.448   8.914   8.370   8.061   8.366   9.532   9.297   9.026   8.778   8.369   8.191   8.255   8.163   7.941   8.002   7.922   8.428   8.943    8.211    7.904   8.228   8.141   9.223   8.707 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.100
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0100    916.0  -4.980  4.210   0.130   1.000  15.580  14.810  14.866  14.640  14.862  15.700  15.138  15.724  14.035  14.218  15.032  15.505  14.157  15.559  14.379  15.865  14.114  14.695   14.101   15.719  14.700  14.139  15.019  14.027 
  0.0120   1333.0  -4.250  4.220   0.141   1.000  14.765  13.846  12.593  11.882  12.586  14.868  14.533  14.045  13.559  12.481  12.328  12.452  11.827  11.858  11.676  12.001  12.566  13.833   11.881   11.840  12.346  11.767  14.481  13.486 
  0.0150   1290.0  -4.370  4.370   0.132   1.000  14.996  14.081  12.833  12.189  12.827  15.093  14.769  14.286  13.779  12.705  12.588  12.720  12.083  12.231  11.966  12.401  12.777  14.061   12.124   12.225  12.594  12.029  14.704  13.704 
  0.0200   1441.0  -4.210  4.530   0.127   1.000  14.849  13.878  12.593  11.722  12.587  14.967  14.627  14.072  13.635  12.550  12.390  12.399  11.732  11.653  11.588  11.722  12.616  13.914   11.776   11.625  12.422  11.689  14.563  13.553 
  0.0300   1878.0  -3.750  4.710   0.127   1.000  13.476  12.212  11.292  10.687  11.283  13.698  13.182  12.616  11.884  11.273  10.894  11.159  10.795  10.525  10.548  10.570  11.419  12.278   10.885   10.484  10.969  10.734  12.897  11.757 
  0.0400   2234.0  -3.410  4.800   0.132   1.000  12.035  11.136  10.520  10.079  10.513  12.173  11.800  11.410  10.880  10.493  10.168  10.403  10.213   9.900   9.950   9.929  10.616  11.150   10.308    9.851  10.233  10.152  11.569  10.775 
  0.0500   2483.0  -3.180  4.840   0.140   0.999  11.258  10.524   9.985   9.611   9.980  11.391  11.048  10.715  10.325   9.967   9.698   9.870   9.741   9.444   9.508   9.452  10.063  10.537    9.820    9.397   9.753   9.694  10.883  10.234 
  0.0550   2576.0  -3.090  4.860   0.145   0.992  10.992  10.315   9.777   9.412   9.771  11.110  10.796  10.481  10.132   9.765   9.517   9.658   9.539   9.254   9.323   9.251   9.851  10.330    9.610    9.207   9.569   9.498  10.658  10.047 
  0.0600   2652.0  -3.010  4.870   0.149   0.963  10.787  10.143   9.601   9.251   9.596  10.901  10.599  10.293   9.975   9.592   9.364   9.484   9.371   9.103   9.169   9.095   9.671  10.162    9.436    9.058   9.412   9.335  10.482   9.893 
  0.0700   2768.0  -2.880  4.880   0.159   0.668  10.447   9.863   9.320   8.982   9.316  10.541  10.278   9.994   9.710   9.316   9.112   9.203   9.094   8.847   8.912   8.834   9.385   9.886    9.150    8.805   9.155   9.064  10.186   9.633 
  0.0720   2787.0  -2.860  4.880   0.161   0.538  10.387   9.812   9.268   8.932   9.264  10.479  10.221   9.940   9.662   9.266   9.066   9.151   9.042   8.800   8.864   8.785   9.332   9.836    9.096    8.759   9.108   9.013  10.133   9.586 
  0.0750   2814.0  -2.830  4.880   0.164   0.329  10.304   9.738   9.194   8.862   9.190  10.393  10.141   9.863   9.591   9.192   8.997   9.078   8.970   8.733   8.796   8.717   9.257   9.763    9.022    8.692   9.038   8.942  10.057   9.516 
  0.0800   2854.0  -2.780  4.890   0.169   0.066  10.178   9.624   9.080   8.756   9.076  10.266  10.020   9.745   9.479   9.078   8.888   8.965   8.863   8.629   8.692   8.613   9.141   9.649    8.914    8.589   8.928   8.837   9.939   9.405 
  0.0900   2920.0  -2.690  4.890   0.178   0.000   9.984   9.437   8.888   8.577   8.884  10.074   9.828   9.553   9.297   8.886   8.706   8.775   8.680   8.455   8.514   8.438   8.946   9.463    8.729    8.416   8.743   8.656   9.751   9.225 
  0.1000   2971.0  -2.630  4.900   0.185   0.000   9.823   9.290   8.740   8.439   8.736   9.909   9.673   9.402   9.155   8.738   8.565   8.628   8.538   8.321   8.378   8.303   8.795   9.318    8.585    8.283   8.600   8.516   9.600   9.084 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.120
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0120   1309.0  -4.290  4.220   0.140   1.000  14.835  13.917  12.666  11.989  12.660  14.936  14.602  14.120  13.619  12.545  12.401  12.536  11.913  11.989  11.771  12.147  12.629  13.898   11.964   11.976  12.415  11.854  14.545  13.546 
  0.0150   1188.0  -4.540  4.400   0.128   1.000  15.256  14.381  13.236  12.804  13.229  15.344  15.011  14.647  13.998  13.009  12.978  13.251  12.592  13.011  12.540  13.218  13.077  14.318   12.616   13.040  12.933  12.540  14.927  13.925 
  0.0200   1351.0  -4.340  4.550   0.124   1.000  14.950  14.037  12.792  12.096  12.786  15.050  14.731  14.225  13.765  12.689  12.572  12.660  12.020  12.111  11.900  12.256  12.752  14.031   12.060   12.099  12.583  11.971  14.674  13.689 
  0.0300   1782.0  -3.860  4.730   0.124   1.000  14.069  12.823  11.719  10.913  11.711  14.267  13.791  13.218  12.504  11.726  11.357  11.542  11.018  10.762  10.792  10.791  11.859  12.911   11.096   10.722  11.435  10.963  13.544  12.377 
  0.0400   2151.0  -3.510  4.830   0.127   1.000  12.397  11.389  10.736  10.293  10.728  12.590  12.132  11.691  11.117  10.701  10.369  10.631  10.413  10.121  10.154  10.162  10.830  11.410   10.509   10.074  10.433  10.350  11.879  11.006 
  0.0500   2422.0  -3.260  4.880   0.134   0.998  11.493  10.718  10.170   9.793  10.164  11.640  11.273  10.926  10.506  10.146   9.865  10.061   9.922   9.624   9.680   9.641  10.249  10.728   10.005    9.577   9.922   9.870  11.090  10.411 
  0.0550   2519.0  -3.170  4.900   0.138   0.982  11.215  10.500   9.959   9.594   9.954  11.346  11.009  10.681  10.308   9.942   9.682   9.846   9.722   9.430   9.494   9.436  10.034  10.513    9.798    9.383   9.736   9.676  10.854  10.218 
  0.0600   2606.0  -3.090  4.910   0.142   0.913  10.972  10.313   9.774   9.418   9.768  11.087  10.780  10.472  10.135   9.761   9.522   9.658   9.541   9.264   9.330   9.261   9.845  10.328    9.610    9.218   9.573   9.501  10.651  10.051 
  0.0700   2737.0  -2.950  4.930   0.151   0.344  10.620  10.015   9.471   9.132   9.467  10.723  10.444  10.152   9.858   9.465   9.254   9.355   9.245   8.993   9.057   8.982   9.536  10.037    9.304    8.949   9.298   9.214  10.344   9.779 
  0.0720   2758.0  -2.920  4.930   0.152   0.193  10.569   9.975   9.429   9.091   9.425  10.669  10.397  10.108   9.820   9.424   9.218   9.313   9.203   8.956   9.019   8.943   9.493   9.997    9.259    8.913   9.261   9.172  10.302   9.743 
  0.0750   2787.0  -2.890  4.930   0.155   0.047  10.477   9.896   9.349   9.013   9.345  10.573  10.310  10.025   9.746   9.345   9.147   9.232   9.122   8.882   8.944   8.868   9.411   9.920    9.176    8.841   9.188   9.093  10.221   9.670 
  0.0800   2831.0  -2.840  4.940   0.159   0.000  10.353   9.786   9.238   8.910   9.234  10.446  10.190   9.910   9.640   9.235   9.044   9.123   9.017   8.783   8.844   8.768   9.298   9.811    9.069    8.742   9.084   8.990  10.107   9.565 
  0.0900   2904.0  -2.750  4.940   0.168   0.000  10.132   9.580   9.032   8.719   9.027  10.225   9.975   9.698   9.440   9.029   8.847   8.919   8.822   8.595   8.655   8.579   9.089   9.606    8.872    8.556   8.884   8.797   9.897   9.367 
  0.1000   2959.0  -2.680  4.950   0.175   0.000   9.961   9.424   8.873   8.571   8.869  10.049   9.809   9.537   9.288   8.870   8.697   8.762   8.670   8.452   8.508   8.435   8.928   9.451    8.717    8.414   8.731   8.647   9.735   9.216 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.500
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0200    901.0  -5.140  4.650   0.111   1.000  15.978  15.154  15.359  15.177  15.356  16.098  15.513  16.139  14.342  14.691  15.626  16.042  14.687  16.141  14.924  16.425  14.532  15.031   14.626   16.319  15.293  14.677  15.379  14.340 
  0.0300   1170.0  -4.730  4.860   0.106   1.000  15.176  14.391  13.741  13.666  13.735  15.298  14.864  14.765  13.891  13.330  13.582  14.056  13.344  14.119  13.406  14.338  13.346  14.250   13.333   14.192  13.424  13.312  14.774  13.830 
  0.0400   1461.0  -4.360  5.010   0.104   1.000  15.089  14.140  12.915  12.134  12.910  15.210  14.865  14.339  13.884  12.868  12.735  12.748  12.100  12.112  11.987  12.209  12.923  14.173   12.132   12.090  12.759  12.066  14.792  13.801 
  0.0500   1751.0  -4.060  5.110   0.103   0.954  14.516  13.384  12.242  11.390  12.234  14.706  14.257  13.684  13.110  12.239  11.967  12.060  11.463  11.267  11.279  11.300  12.336  13.452   11.523   11.230  12.026  11.418  14.091  12.995 
  0.0550   1902.0  -3.910  5.150   0.103   0.561  13.704  12.493  11.672  11.176  11.665  13.982  13.400  12.851  12.187  11.617  11.316  11.591  11.240  11.053  11.036  11.115  11.742  12.527   11.312   11.018  11.368  11.185  13.141  12.059 
  0.0600   2048.0  -3.780  5.190   0.104   0.007  13.048  11.970  11.304  10.924  11.297  13.319  12.754  12.283  11.688  11.240  10.946  11.243  10.999  10.789  10.777  10.856  11.363  11.980   11.079   10.750  10.996  10.938  12.502  11.569 
  0.0700   2295.0  -3.560  5.230   0.106   0.000  12.123  11.372  10.848  10.515  10.842  12.240  11.907  11.612  11.131  10.797  10.523  10.778  10.609  10.365  10.376  10.416  10.906  11.356   10.692   10.322  10.574  10.550  11.710  11.020 
  0.0720   2332.0  -3.520  5.240   0.107   0.000  11.994  11.266  10.751  10.434  10.745  12.109  11.783  11.496  11.031  10.699  10.432  10.681  10.530  10.283  10.296  10.331  10.805  11.245   10.614   10.238  10.481  10.471  11.589  10.927 
  0.0750   2400.0  -3.460  5.240   0.108   0.000  12.023  11.205  10.639  10.310  10.634  12.216  11.786  11.420  10.989  10.597  10.338  10.559  10.412  10.157  10.181  10.195  10.697  11.205   10.493   10.112  10.387  10.357  11.600  10.889 
  0.0800   2505.0  -3.370  5.250   0.111   0.000  11.739  10.988  10.426  10.095  10.421  11.906  11.520  11.176  10.792  10.394  10.153  10.335  10.203   9.944   9.982   9.966  10.484  10.992   10.279    9.898  10.200  10.155  11.362  10.699 
  0.0900   2678.0  -3.190  5.240   0.118   0.000  11.182  10.596  10.061   9.737  10.057  11.269  11.010  10.745  10.427  10.045   9.831   9.957   9.847   9.596   9.648   9.596  10.120  10.604    9.911    9.551   9.874   9.810  10.903  10.344 
  0.1000   2809.0  -3.050  5.230   0.128   0.000  10.877  10.283   9.720   9.404   9.716  10.988  10.704  10.412  10.133   9.711   9.523   9.612   9.506   9.278   9.330   9.269   9.774  10.303    9.560    9.236   9.561   9.477  10.614  10.056 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   1.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0300    958.0  -5.110  4.900   0.102   1.000  15.894  15.090  15.161  15.040  15.157  16.015  15.457  15.908  14.339  14.534  15.336  15.781  14.597  15.840  14.781  16.078  14.407  14.931   14.549   15.986  15.033  14.585  15.325  14.316 
  0.0400   1189.0  -4.770  5.060   0.098   1.000  15.325  14.511  13.885  13.707  13.879  15.457  15.002  14.879  14.019  13.504  13.710  14.139  13.430  14.051  13.453  14.234  13.527  14.382   13.428   14.107  13.573  13.398  14.906  13.953 
  0.0500   1424.0  -4.480  5.180   0.096   0.932  15.142  14.243  13.111  12.512  13.105  15.258  14.917  14.445  13.959  13.012  12.920  13.014  12.427  12.550  12.340  12.672  13.062  14.246   12.453   12.542  12.923  12.393  14.842  13.878 
  0.0550   1550.0  -4.340  5.220   0.095   0.379  15.262  14.267  13.013  12.094  13.007  15.397  15.040  14.476  14.037  13.015  12.851  12.799  12.132  12.013  12.004  12.042  13.071  14.336   12.167   11.982  12.890  12.105  14.960  13.949 
  0.0600   1675.0  -4.210  5.270   0.094   0.000  14.863  13.869  12.699  11.798  12.693  15.019  14.635  14.091  13.641  12.701  12.512  12.496  11.855  11.696  11.703  11.723  12.765  13.930   11.899   11.661  12.557  11.821  14.528  13.544 
  0.0700   2012.0  -3.880  5.320   0.096   0.000  13.373  12.300  11.602  11.196  11.596  13.653  13.083  12.606  12.021  11.537  11.268  11.540  11.257  11.076  11.057  11.141  11.651  12.308   11.327   11.040  11.313  11.202  12.844  11.901 
  0.0720   2089.0  -3.800  5.320   0.097   0.000  13.032  11.984  11.370  11.070  11.363  13.326  12.738  12.287  11.706  11.288  11.019  11.336  11.126  10.947  10.916  11.028  11.406  11.982   11.201   10.911  11.062  11.066  12.488  11.586 
  0.0750   2185.0  -3.710  5.330   0.098   0.000  12.987  11.984  11.335  10.970  11.328  13.248  12.712  12.263  11.722  11.270  11.005  11.274  11.039  10.839  10.827  10.904  11.381  11.985   11.115   10.801  11.050  10.981  12.484  11.609 
  0.0800   2358.0  -3.540  5.320   0.103   0.000  12.105  11.329  10.788  10.480  10.782  12.265  11.879  11.554  11.102  10.736  10.480  10.721  10.571  10.333  10.343  10.382  10.838  11.315   10.653   10.289  10.526  10.514  11.689  10.999 
  0.0900   2625.0  -3.270  5.280   0.113   0.000  11.418  10.771  10.222   9.897  10.217  11.538  11.229  10.931  10.593  10.200   9.980  10.122  10.007   9.753   9.800   9.760  10.280  10.777   10.074    9.707  10.024   9.966  11.104  10.508 
  0.1000   2790.0  -3.080  5.250   0.125   0.000  10.960  10.357   9.794   9.477   9.790  11.074  10.784  10.490  10.205   9.784   9.594   9.687   9.580   9.349   9.401   9.341   9.849  10.376    9.635    9.307   9.632   9.550  10.691  10.128 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   5.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0500    907.0  -5.350  5.260   0.086   0.921  16.542  15.666  15.878  16.007  15.875  16.647  16.097  16.535  14.881  15.220  16.144  16.578  15.586  16.765  15.750  16.958  15.048  15.505   15.543   16.922  15.831  15.582  15.960  14.857 
  0.0550    990.0  -5.210  5.320   0.085   0.284  16.073  15.247  15.357  15.442  15.353  16.198  15.654  15.940  14.539  14.746  15.510  15.977  15.055  16.096  15.184  16.288  14.623  15.059   15.021   16.230  15.227  15.046  15.519  14.495 
  0.0600   1097.0  -5.040  5.370   0.084   0.000  15.764  14.974  14.754  14.722  14.749  15.889  15.393  15.477  14.371  14.238  14.749  15.222  14.393  15.209  14.472  15.384  14.182  14.793   14.373   15.305  14.525  14.376  15.277  14.315 
  0.0700   1593.0  -4.360  5.400   0.087   0.000  15.317  14.327  13.111  12.203  13.106  15.460  15.095  14.540  14.101  13.117  12.952  12.899  12.249  12.118  12.121  12.140  13.174  14.397   12.284   12.086  12.992  12.223  15.008  14.010 
  0.0720   1754.0  -4.180  5.400   0.089   0.000  14.513  13.518  12.512  11.767  12.506  14.701  14.272  13.763  13.276  12.490  12.292  12.357  11.813  11.672  11.661  11.716  12.565  13.552   11.858   11.638  12.333  11.776  14.122  13.168 
  0.0750   1998.0  -3.920  5.380   0.092   0.000  13.553  12.474  11.753  11.338  11.747  13.840  13.263  12.779  12.195  11.685  11.428  11.691  11.390  11.225  11.201  11.291  11.795  12.483   11.455   11.190  11.471  11.338  13.031  12.074 
  0.0800   2295.0  -3.610  5.340   0.100   0.000  12.148  11.464  10.965  10.655  10.959  12.231  11.946  11.700  11.220  10.906  10.646  10.906  10.737  10.515  10.514  10.573  11.011  11.432   10.817   10.474  10.692  10.678  11.758  11.110 
  0.0900   2621.0  -3.280  5.290   0.113   0.000  11.435  10.778  10.227   9.902  10.222  11.560  11.242  10.940  10.600  10.205   9.984  10.128  10.012   9.758   9.804   9.766  10.284  10.785   10.079    9.713  10.028   9.970  11.116  10.514 
  0.1000   2791.0  -3.080  5.250   0.124   0.000  10.976  10.374   9.810   9.494   9.806  11.090  10.800  10.506  10.221   9.800   9.610   9.703   9.596   9.366   9.417   9.358   9.865  10.393    9.651    9.323   9.648   9.566  10.707  10.144 


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =  10.000
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0600    971.0  -5.290  5.400   0.081   0.000  16.309  15.444  15.590  15.712  15.587  16.434  15.878  16.175  14.715  14.981  15.756  16.202  15.327  16.365  15.456  16.545  14.849  15.265   15.292   16.503  15.476  15.320  15.738  14.671 
  0.0700   1552.0  -4.420  5.410   0.086   0.000  15.367  14.397  13.178  12.295  13.173  15.501  15.146  14.601  14.168  13.177  13.022  12.973  12.320  12.224  12.198  12.264  13.229  14.461   12.353   12.193  13.058  12.294  15.068  14.079 
  0.0720   1744.0  -4.190  5.400   0.089   0.000  14.561  13.573  12.545  11.784  12.540  14.743  14.323  13.812  13.335  12.527  12.332  12.383  11.830  11.689  11.679  11.732  12.599  13.610   11.874   11.656  12.373  11.793  14.180  13.229 
  0.0750   1998.0  -3.920  5.380   0.092   0.000  13.553  12.474  11.753  11.338  11.747  13.840  13.263  12.779  12.195  11.685  11.428  11.691  11.390  11.225  11.201  11.291  11.795  12.483   11.455   11.190  11.471  11.338  13.031  12.074 
  0.0800   2297.0  -3.610  5.340   0.100   0.000  12.139  11.458  10.961  10.653  10.956  12.221  11.938  11.693  11.215  10.902  10.643  10.903  10.735  10.513  10.512  10.571  11.008  11.426   10.815   10.472  10.689  10.676  11.750  11.104 
  0.0900   2622.0  -3.270  5.290   0.113   0.000  11.431  10.776  10.226   9.901  10.220  11.555  11.239  10.938  10.599  10.203   9.983  10.127  10.010   9.757   9.803   9.765  10.283  10.783   10.078    9.711  10.027   9.969  11.113  10.513 
  0.1000   2793.0  -3.080  5.250   0.124   0.000  10.972  10.371   9.808   9.491   9.804  11.086  10.797  10.503  10.219   9.798   9.608   9.701   9.593   9.364   9.415   9.355   9.862  10.390    9.648    9.321   9.646   9.563  10.704  10.142 
